"GEO_ID","H011001","H011002","H011003","H011004","NAME"
"id","Total population in occupied housing units","Total population in occupied housing units!!Owned with a mortgage or a loan","Total population in occupied housing units!!Owned free and clear","Total population in occupied housing units!!Renter occupied","Geographic Area Name"
"8600000US90706","75876","27415","4482","43979","ZCTA5 90706"
"8600000US90710","25353","10763","2835","11755","ZCTA5 90710"
"8600000US90712","31459","20636","3279","7544","ZCTA5 90712"
"8600000US90713","27895","19463","3230","5202","ZCTA5 90713"
"8600000US90715","20349","9612","1370","9367","ZCTA5 90715"
"8600000US90716","14168","5300","883","7985","ZCTA5 90716"
"8600000US90717","21125","7695","1914","11516","ZCTA5 90717"
"8600000US90720","21343","11279","2896","7168","ZCTA5 90720"
"8600000US90723","53789","19825","3934","30030","ZCTA5 90723"
"8600000US90731","57663","15788","3660","38215","ZCTA5 90731"
"8600000US90732","20521","11372","2978","6171","ZCTA5 90732"
"8600000US90740","23504","8633","8793","6078","ZCTA5 90740"
"8600000US90742","831","262","98","471","ZCTA5 90742"
"8600000US90743","456","230","49","177","ZCTA5 90743"
"8600000US90744","53640","18773","3719","31148","ZCTA5 90744"
"8600000US90745","56770","34335","6549","15886","ZCTA5 90745"
"8600000US90746","25244","18899","3107","3238","ZCTA5 90746"
"8600000US90747","0","0","0","0","ZCTA5 90747"
"8600000US90755","11028","4876","429","5723","ZCTA5 90755"
"8600000US90802","38287","6477","1165","30645","ZCTA5 90802"
"8600000US90803","31893","12246","3378","16269","ZCTA5 90803"
"8600000US90804","39348","7100","722","31526","ZCTA5 90804"
"8600000US90805","92727","39343","5100","48284","ZCTA5 90805"
"8600000US90806","41892","13585","1478","26829","ZCTA5 90806"
"8600000US90807","31060","16104","2396","12560","ZCTA5 90807"
"8600000US90808","38174","26158","4909","7107","ZCTA5 90808"
"8600000US90810","36233","18651","2558","15024","ZCTA5 90810"
"8600000US90813","57505","7104","862","49539","ZCTA5 90813"
"8600000US90814","18932","5843","998","12091","ZCTA5 90814"
"8600000US90815","37573","21580","4455","11538","ZCTA5 90815"
"8600000US90822","9","6","0","3","ZCTA5 90822"
"8600000US90831","0","0","0","0","ZCTA5 90831"
"8600000US91001","35781","23073","3549","9159","ZCTA5 91001"
"8600000US91006","31711","18764","5369","7578","ZCTA5 91006"
"8600000US91007","32857","14679","4974","13204","ZCTA5 91007"
"8600000US91008","1345","835","215","295","ZCTA5 91008"
"8600000US91010","25518","15784","2364","7370","ZCTA5 91010"
"8600000US91011","20253","15039","3051","2163","ZCTA5 91011"
"8600000US91016","40433","18554","3057","18822","ZCTA5 91016"
"8600000US91020","8222","2739","362","5121","ZCTA5 91020"
"8600000US91024","10916","5854","1536","3526","ZCTA5 91024"
"8600000US91030","25453","10749","2436","12268","ZCTA5 91030"
"8600000US91040","20012","12719","1992","5301","ZCTA5 91040"
"8600000US91042","27386","13916","1880","11590","ZCTA5 91042"
"8600000US91046","156","21","4","131","ZCTA5 91046"
"8600000US91101","20213","3040","580","16593","ZCTA5 91101"
"8600000US91103","26419","11379","1666","13374","ZCTA5 91103"
"8600000US91104","36118","17281","2692","16145","ZCTA5 91104"
"8600000US91105","10788","5774","1652","3362","ZCTA5 91105"
"8600000US91106","23239","7789","1592","13858","ZCTA5 91106"
"8600000US91107","32655","17154","3971","11530","ZCTA5 91107"
"8600000US91108","13280","9021","3014","1245","ZCTA5 91108"
"8600000US91201","22643","7215","1190","14238","ZCTA5 91201"
"8600000US91202","22715","8880","1684","12151","ZCTA5 91202"
"8600000US91203","13220","3071","406","9743","ZCTA5 91203"
"8600000US91204","15568","2193","410","12965","ZCTA5 91204"
"8600000US91205","37662","6222","956","30484","ZCTA5 91205"
"8600000US91206","32822","11374","2111","19337","ZCTA5 91206"
"8600000US91207","10494","5888","1209","3397","ZCTA5 91207"
"8600000US91208","16220","10179","1774","4267","ZCTA5 91208"
"8600000US91210","328","56","7","265","ZCTA5 91210"
"8600000US91214","30264","19616","2978","7670","ZCTA5 91214"
"8600000US91301","25382","18246","2285","4851","ZCTA5 91301"
"8600000US91302","25704","17770","2735","5199","ZCTA5 91302"
"8600000US91303","26758","6967","933","18858","ZCTA5 91303"
"8600000US91304","49606","21411","3777","24418","ZCTA5 91304"
"8600000US91306","44710","23398","3151","18161","ZCTA5 91306"
"8600000US91307","24163","17618","2783","3762","ZCTA5 91307"
"8600000US91311","35753","21638","3975","10140","ZCTA5 91311"
"8600000US91316","26866","12732","2457","11677","ZCTA5 91316"
"8600000US91320","44187","30596","3870","9721","ZCTA5 91320"
"8600000US91321","34113","15515","3000","15598","ZCTA5 91321"
"8600000US91324","27392","13172","2202","12018","ZCTA5 91324"
"8600000US91325","32146","14291","2344","15511","ZCTA5 91325"
"8600000US91326","33647","23301","3546","6800","ZCTA5 91326"
"8600000US91330","5","2","0","3","ZCTA5 91330"
"8600000US91331","103248","56555","8667","38026","ZCTA5 91331"
"8600000US91335","73330","36009","4338","32983","ZCTA5 91335"
"8600000US91340","34065","17268","2784","14013","ZCTA5 91340"
"8600000US91342","90092","54933","7032","28127","ZCTA5 91342"
"8600000US91343","59683","26376","3481","29826","ZCTA5 91343"
"8600000US91344","51158","33720","4991","12447","ZCTA5 91344"
"8600000US91345","18272","11755","1852","4665","ZCTA5 91345"
"8600000US91350","33136","26079","2083","4974","ZCTA5 91350"
"8600000US91351","32281","20642","2619","9020","ZCTA5 91351"
"8600000US91352","47324","23861","3496","19967","ZCTA5 91352"
"8600000US91354","28693","22096","1141","5456","ZCTA5 91354"
"8600000US91355","32087","19208","2068","10811","ZCTA5 91355"
"8600000US91356","29162","15741","2469","10952","ZCTA5 91356"
"8600000US91360","40864","25581","4104","11179","ZCTA5 91360"
"8600000US91361","20331","12547","2597","5187","ZCTA5 91361"
"8600000US91362","35901","23953","3240","8708","ZCTA5 91362"
"8600000US91364","25660","16220","2767","6673","ZCTA5 91364"
"8600000US91367","39287","20228","3681","15378","ZCTA5 91367"
"8600000US91371","1","0","0","1","ZCTA5 91371"
"8600000US91377","13810","9720","986","3104","ZCTA5 91377"
"8600000US91381","20158","14766","602","4790","ZCTA5 91381"
"8600000US91384","22862","18160","1255","3447","ZCTA5 91384"
"8600000US91387","40324","23267","1868","15189","ZCTA5 91387"
"8600000US91390","19573","16209","1413","1951","ZCTA5 91390"
"8600000US91401","38892","12025","1958","24909","ZCTA5 91401"
"8600000US91402","69356","24174","2022","43160","ZCTA5 91402"
"8600000US91403","23447","10201","1806","11440","ZCTA5 91403"
"8600000US91405","50533","13302","1553","35678","ZCTA5 91405"
"8600000US91406","51480","19762","2639","29079","ZCTA5 91406"
"8600000US91411","24097","5673","855","17569","ZCTA5 91411"
"8600000US91423","30867","12294","1968","16605","ZCTA5 91423"
"8600000US91436","14296","10139","2264","1893","ZCTA5 91436"
"8600000US91501","20844","7358","1101","12385","ZCTA5 91501"
"8600000US91502","11310","1353","182","9775","ZCTA5 91502"
"8600000US91504","24662","12373","2221","10068","ZCTA5 91504"
"8600000US91505","30751","14751","2533","13467","ZCTA5 91505"
"8600000US91506","18489","9640","1646","7203","ZCTA5 91506"
"8600000US91601","36994","7230","1055","28709","ZCTA5 91601"
"8600000US91602","17464","5770","906","10788","ZCTA5 91602"
"8600000US91604","28750","13276","2468","13006","ZCTA5 91604"
"8600000US91605","55514","21067","2998","31449","ZCTA5 91605"
"8600000US91606","44640","14253","2049","28338","ZCTA5 91606"
"8600000US91607","27619","8781","1522","17316","ZCTA5 91607"
"8600000US91608","0","0","0","0","ZCTA5 91608"
"8600000US91701","38837","28090","3644","7103","ZCTA5 91701"
"8600000US91702","56759","28572","4668","23519","ZCTA5 91702"
"8600000US91706","76115","40514","6109","29492","ZCTA5 91706"
"8600000US91708","1287","890","43","354","ZCTA5 91708"
"8600000US91709","74641","56239","4910","13492","ZCTA5 91709"
"8600000US91710","75371","46951","5627","22793","ZCTA5 91710"
"8600000US91711","30581","18236","3685","8660","ZCTA5 91711"
"8600000US91722","34330","20967","3302","10061","ZCTA5 91722"
"8600000US91723","17979","7235","1140","9604","ZCTA5 91723"
"8600000US91724","25936","16193","2898","6845","ZCTA5 91724"
"8600000US91730","63952","29579","3273","31100","ZCTA5 91730"
"8600000US91731","29310","8946","2578","17786","ZCTA5 91731"
"8600000US91732","60778","22343","5231","33204","ZCTA5 91732"
"8600000US91733","43641","13842","3998","25801","ZCTA5 91733"
"8600000US91737","24740","17283","1541","5916","ZCTA5 91737"
"8600000US91739","34782","26202","1118","7462","ZCTA5 91739"
"8600000US91740","24654","14142","2860","7652","ZCTA5 91740"
"8600000US91741","25757","16975","3325","5457","ZCTA5 91741"
"8600000US91744","84883","51462","8106","25315","ZCTA5 91744"
"8600000US91745","53903","33946","8230","11727","ZCTA5 91745"
"8600000US91746","30327","19456","3192","7679","ZCTA5 91746"
"8600000US91748","45244","23994","6073","15177","ZCTA5 91748"
"8600000US91750","32334","19720","4891","7723","ZCTA5 91750"
"8600000US91752","30013","18237","2128","9648","ZCTA5 91752"
"8600000US91754","32708","13075","5663","13970","ZCTA5 91754"
"8600000US91755","27300","10350","3959","12991","ZCTA5 91755"
"8600000US91759","476","211","149","116","ZCTA5 91759"
"8600000US91761","56657","32749","4221","19687","ZCTA5 91761"
"8600000US91762","55624","25220","3676","26728","ZCTA5 91762"
"8600000US91763","35979","18008","2994","14977","ZCTA5 91763"
"8600000US91764","53790","23486","3132","27172","ZCTA5 91764"
"8600000US91765","46342","32674","4998","8670","ZCTA5 91765"
"8600000US91766","71096","34330","4630","32136","ZCTA5 91766"
"8600000US91767","47478","24245","2888","20345","ZCTA5 91767"
"8600000US91768","30490","15404","1944","13142","ZCTA5 91768"
"8600000US91770","61448","24379","7653","29416","ZCTA5 91770"
"8600000US91773","32584","20385","3862","8337","ZCTA5 91773"
"8600000US91775","23823","12942","3267","7614","ZCTA5 91775"
"8600000US91776","38178","13004","3894","21280","ZCTA5 91776"
"8600000US91780","34239","17433","4912","11894","ZCTA5 91780"
"8600000US91784","25906","19272","3511","3123","ZCTA5 91784"
"8600000US91786","50502","18591","4037","27874","ZCTA5 91786"
"8600000US91789","42622","30057","6579","5986","ZCTA5 91789"
"8600000US91790","44532","26391","4503","13638","ZCTA5 91790"
"8600000US91791","32257","19610","3312","9335","ZCTA5 91791"
"8600000US91792","30696","16182","2053","12461","ZCTA5 91792"
"8600000US91801","52325","15591","4874","31860","ZCTA5 91801"
"8600000US91803","30118","11679","3610","14829","ZCTA5 91803"
"8600000US91901","17130","10642","1784","4704","ZCTA5 91901"
"8600000US91902","17611","11389","2013","4209","ZCTA5 91902"
"8600000US91905","1587","753","358","476","ZCTA5 91905"
"8600000US91906","3442","1874","567","1001","ZCTA5 91906"
"8600000US91910","74847","30201","5958","38688","ZCTA5 91910"
"8600000US91911","82242","34174","8075","39993","ZCTA5 91911"
"8600000US91913","40947","27546","1308","12093","ZCTA5 91913"
"8600000US91914","15448","12662","380","2406","ZCTA5 91914"
"8600000US91915","24659","18757","452","5450","ZCTA5 91915"
"8600000US91916","1588","991","246","351","ZCTA5 91916"
"8600000US91917","937","343","241","353","ZCTA5 91917"
"8600000US91931","592","216","183","193","ZCTA5 91931"
"8600000US91932","25706","5799","1677","18230","ZCTA5 91932"
"8600000US91934","737","271","156","310","ZCTA5 91934"
"8600000US91935","8618","6168","1300","1150","ZCTA5 91935"
"8600000US91941","31628","16004","3668","11956","ZCTA5 91941"
"8600000US91942","37539","14005","3455","20079","ZCTA5 91942"
"8600000US91945","25114","12099","1915","11100","ZCTA5 91945"
"8600000US91948","78","34","34","10","ZCTA5 91948"
"8600000US91950","54570","16827","3406","34337","ZCTA5 91950"
"8600000US91962","1646","1079","259","308","ZCTA5 91962"
"8600000US91963","1118","331","365","422","ZCTA5 91963"
"8600000US91977","57821","28988","4597","24236","ZCTA5 91977"
"8600000US91978","8864","4825","1292","2747","ZCTA5 91978"
"8600000US91980","165","47","19","99","ZCTA5 91980"
"8600000US92003","4659","2555","775","1329","ZCTA5 92003"
"8600000US92004","3878","1346","1540","992","ZCTA5 92004"
"8600000US92007","10427","5257","1129","4041","ZCTA5 92007"
"8600000US92008","26973","11037","2594","13342","ZCTA5 92008"
"8600000US92009","40579","27808","2964","9807","ZCTA5 92009"
"8600000US92010","14316","8716","1296","4304","ZCTA5 92010"
"8600000US92011","22400","13055","2263","7082","ZCTA5 92011"
"8600000US92014","13154","7346","2194","3614","ZCTA5 92014"
"8600000US92019","42252","23885","4039","14328","ZCTA5 92019"
