"GEO_ID","H001001","NAME"
"id","Total","Geographic Area Name"
"8600000US91709","23615","ZCTA5 91709"
"8600000US91710","23009","ZCTA5 91710"
"8600000US91711","12431","ZCTA5 91711"
"8600000US91722","10450","ZCTA5 91722"
"8600000US91723","6672","ZCTA5 91723"
"8600000US91724","8771","ZCTA5 91724"
"8600000US91730","24024","ZCTA5 91730"
"8600000US91731","8381","ZCTA5 91731"
"8600000US91732","15347","ZCTA5 91732"
"8600000US91733","10297","ZCTA5 91733"
"8600000US91737","8399","ZCTA5 91737"
"8600000US91739","10890","ZCTA5 91739"
"8600000US91740","8724","ZCTA5 91740"
"8600000US91741","9433","ZCTA5 91741"
"8600000US91744","19211","ZCTA5 91744"
"8600000US91745","16645","ZCTA5 91745"
"8600000US91746","6937","ZCTA5 91746"
"8600000US91748","13889","ZCTA5 91748"
"8600000US91750","12396","ZCTA5 91750"
"8600000US91752","9025","ZCTA5 91752"
"8600000US91754","11718","ZCTA5 91754"
"8600000US91755","9122","ZCTA5 91755"
"8600000US91759","366","ZCTA5 91759"
"8600000US91761","16038","ZCTA5 91761"
"8600000US91762","16769","ZCTA5 91762"
"8600000US91763","9833","ZCTA5 91763"
"8600000US91764","15411","ZCTA5 91764"
"8600000US91765","15547","ZCTA5 91765"
"8600000US91766","18629","ZCTA5 91766"
"8600000US91767","14520","ZCTA5 91767"
"8600000US91768","8381","ZCTA5 91768"
"8600000US91770","17258","ZCTA5 91770"
"8600000US91773","12414","ZCTA5 91773"
"8600000US91775","8567","ZCTA5 91775"
"8600000US91776","12493","ZCTA5 91776"
"8600000US91780","11828","ZCTA5 91780"
"8600000US91784","9200","ZCTA5 91784"
"8600000US91786","19394","ZCTA5 91786"
"8600000US91789","13246","ZCTA5 91789"
"8600000US91790","13151","ZCTA5 91790"
"8600000US91791","10612","ZCTA5 91791"
"8600000US91792","9504","ZCTA5 91792"
"8600000US91801","20521","ZCTA5 91801"
"8600000US91803","10385","ZCTA5 91803"
"8600000US91901","6720","ZCTA5 91901"
"8600000US91902","6183","ZCTA5 91902"
"8600000US91905","893","ZCTA5 91905"
"8600000US91906","1518","ZCTA5 91906"
"8600000US91910","27557","ZCTA5 91910"
"8600000US91911","25616","ZCTA5 91911"
"8600000US91913","12865","ZCTA5 91913"
"8600000US91914","4572","ZCTA5 91914"
"8600000US91915","7487","ZCTA5 91915"
"8600000US91916","793","ZCTA5 91916"
"8600000US91917","320","ZCTA5 91917"
"8600000US91931","288","ZCTA5 91931"
"8600000US91932","9883","ZCTA5 91932"
"8600000US91934","436","ZCTA5 91934"
"8600000US91935","3101","ZCTA5 91935"
"8600000US91941","12856","ZCTA5 91941"
"8600000US91942","18285","ZCTA5 91942"
"8600000US91945","8915","ZCTA5 91945"
"8600000US91948","215","ZCTA5 91948"
"8600000US91950","17167","ZCTA5 91950"
"8600000US91962","804","ZCTA5 91962"
"8600000US91963","413","ZCTA5 91963"
"8600000US91977","19167","ZCTA5 91977"
"8600000US91978","3159","ZCTA5 91978"
"8600000US91980","49","ZCTA5 91980"
"8600000US92003","1995","ZCTA5 92003"
"8600000US92004","3288","ZCTA5 92004"
"8600000US92007","4765","ZCTA5 92007"
"8600000US92008","12799","ZCTA5 92008"
"8600000US92009","16059","ZCTA5 92009"
"8600000US92010","5711","ZCTA5 92010"
"8600000US92011","10036","ZCTA5 92011"
"8600000US92014","6755","ZCTA5 92014"
"8600000US92019","15838","ZCTA5 92019"
"8600000US92020","20894","ZCTA5 92020"
"8600000US92021","23881","ZCTA5 92021"
"8600000US92024","20991","ZCTA5 92024"
"8600000US92025","15781","ZCTA5 92025"
"8600000US92026","18178","ZCTA5 92026"
"8600000US92027","17051","ZCTA5 92027"
"8600000US92028","17325","ZCTA5 92028"
"8600000US92029","7364","ZCTA5 92029"
"8600000US92036","2227","ZCTA5 92036"
"8600000US92037","20162","ZCTA5 92037"
"8600000US92040","15610","ZCTA5 92040"
"8600000US92054","17924","ZCTA5 92054"
"8600000US92055","388","ZCTA5 92055"
"8600000US92056","20128","ZCTA5 92056"
"8600000US92057","18860","ZCTA5 92057"
"8600000US92058","14431","ZCTA5 92058"
"8600000US92059","569","ZCTA5 92059"
"8600000US92060","217","ZCTA5 92060"
"8600000US92061","1097","ZCTA5 92061"
"8600000US92064","16752","ZCTA5 92064"
"8600000US92065","12708","ZCTA5 92065"
"8600000US92066","211","ZCTA5 92066"
"8600000US92067","3990","ZCTA5 92067"
"8600000US92069","14538","ZCTA5 92069"
"8600000US92070","600","ZCTA5 92070"
"8600000US92071","20052","ZCTA5 92071"
"8600000US92075","6163","ZCTA5 92075"
"8600000US92078","17034","ZCTA5 92078"
"8600000US92081","10840","ZCTA5 92081"
"8600000US92082","6711","ZCTA5 92082"
"8600000US92083","10982","ZCTA5 92083"
"8600000US92084","15562","ZCTA5 92084"
